ID,Type,Trend,Seasonality,Horizon,sMAPE,Model,sMAPE_ETS,sMAPE_Arima,sMAPE_cv,Model_cv,sMAPE_naive,sMAPE_snaive,sMAPE_drift
1361,MACRO,1,Non-seasonal,11,0.589641282,Arima,0.3372196,0.589641282,0.589641282,Arima,4.928730564,10.66154252,5.766042039
1362,MACRO,1,Non-seasonal,12,0.670495504,Arima,0.349196209,0.670495504,0.670495504,Arima,5.342237656,10.59731528,6.24869341
1363,MACRO,1,Non-seasonal,13,0.788188537,Arima,0.398515873,0.788188537,0.788188537,Arima,5.72329709,11.32247718,6.698813273
1364,MACRO,1,Non-seasonal,14,0.867066149,Arima,0.409216759,0.867066149,0.867066149,Arima,6.147206662,12.00915457,7.191616313
1365,MACRO,1,Non-seasonal,15,0.988349754,Arima,0.462306542,0.988349754,0.988349754,Arima,6.532896559,12.57818123,7.646125739
1366,MACRO,1,Non-seasonal,16,1.092686657,Arima,0.498256129,1.092686657,1.092686657,Arima,6.939453627,13.08191357,8.1213467
1367,MACRO,1,Non-seasonal,17,1.17472831,Arima,0.51158181,1.17472831,1.17472831,Arima,7.372137647,13.51347843,8.622516759
1368,MACRO,1,Non-seasonal,18,1.269658375,Arima,0.537363365,1.269658375,1.269658375,Arima,7.795907778,13.94235808,9.114650435
1369,MACRO,0,Non-seasonal,1,0.210335978,ETS,0.210335978,0.306905371,0.210335978,ETS,0.306905371,1.621073961,0.379989588
1370,MACRO,0,Non-seasonal,2,0.414208913,ETS,0.414208913,0.510777851,0.414208913,ETS,0.510777851,1.316609855,0.620429982
1371,MACRO,0,Non-seasonal,3,0.31218554,ETS,0.31218554,0.408754664,0.31218554,ETS,0.408754664,1.047721206,0.554993809
1372,MACRO,0,Non-seasonal,4,0.363214528,ETS,0.363214528,0.459783567,0.363214528,ETS,0.459783567,0.785790904,0.642626549
1373,MACRO,0,Non-seasonal,5,0.393831921,ETS,0.393831921,0.490400909,0.393831921,ETS,0.490400909,0.689825992,0.70986561
1374,MACRO,0,Non-seasonal,6,0.429889846,ETS,0.429889846,0.494269205,0.429889846,ETS,0.494269205,0.660456774,0.603938317
1375,MACRO,0,Non-seasonal,7,0.485100222,ETS,0.485100222,0.526487082,0.485100222,ETS,0.526487082,0.756484367,0.547244429
1376,MACRO,0,Non-seasonal,8,0.449347823,ETS,0.449347823,0.473490138,0.449347823,ETS,0.473490138,0.81482902,0.539296881
1377,MACRO,0,Non-seasonal,9,0.467218007,ETS,0.467218007,0.477947976,0.467218007,ETS,0.477947976,0.995570861,0.495605999
1378,MACRO,0,Non-seasonal,10,0.441529804,ETS,0.441529804,0.460843716,0.441529804,ETS,0.460843716,0.896013775,0.550060935
1379,MACRO,0,Non-seasonal,11,0.522634273,ETS,0.522634273,0.531413687,0.522634273,ETS,0.531413687,1.038104922,0.539168749
1380,MACRO,0,Non-seasonal,12,0.572950823,ETS,0.572950823,0.57295139,0.572950823,ETS,0.57295139,1.037418355,0.506681089
1381,MACRO,0,Non-seasonal,13,0.552085191,ETS,0.552085191,0.544657299,0.552085191,ETS,0.544657299,1.121698672,0.525333132
1382,MACRO,0,Non-seasonal,14,0.534966871,ETS,0.534966871,0.534967346,0.534966871,ETS,0.534967346,1.135705207,0.590455672
1383,MACRO,0,Non-seasonal,15,0.553726578,ETS,0.553726578,0.547289146,0.553726578,ETS,0.547289146,1.155619942,0.576566422
1384,MACRO,0,Non-seasonal,16,0.550821583,ETS,0.550821583,0.538750925,0.550821583,ETS,0.538750925,1.147365036,0.588351485
1385,MACRO,0,Non-seasonal,17,0.542797794,ETS,0.542797794,0.537117706,0.542797794,ETS,0.537117706,1.091877777,0.657313183
1386,MACRO,0,Non-seasonal,18,0.580786227,ETS,0.580786227,0.580786457,0.580786227,ETS,0.580786457,1.104726524,0.76783925
1387,MACRO,1,Non-seasonal,1,0.01543373,ETS,0.01543373,1.82E-05,0.01543373,ETS,0.093501636,1.601507301,0.155912494
1388,MACRO,1,Non-seasonal,2,0.396794088,ETS,0.396794088,0.167656462,0.396794088,ETS,0.512300166,2.115307641,0.294404715
1389,MACRO,1,Non-seasonal,3,0.776837773,ETS,0.776837773,0.325089313,0.776837773,ETS,0.928768802,2.658644545,0.53472278
1390,MACRO,1,Non-seasonal,4,1.064242827,ETS,1.064242827,0.447362132,1.064242827,ETS,1.25161823,3.068749764,0.707616219
1391,MACRO,1,Non-seasonal,5,1.332932243,ETS,1.332932243,0.544161073,1.332932243,ETS,1.554800119,3.481598038,0.871448659
1392,MACRO,1,Non-seasonal,6,1.577120962,ETS,1.577120962,0.633637097,1.577120962,ETS,1.832558927,3.689463362,1.015265506
1393,MACRO,1,Non-seasonal,7,1.755771283,ETS,1.755771283,0.676914101,1.755771283,ETS,2.043888727,3.769738071,1.095822198
1394,MACRO,1,Non-seasonal,8,1.972601626,ETS,1.972601626,0.794324805,1.972601626,ETS,2.292527292,3.837758995,1.215764695
1395,MACRO,1,Non-seasonal,9,2.115036431,ETS,2.115036431,0.881247607,2.115036431,ETS,2.465936594,3.818714788,1.261902761
1396,MACRO,1,Non-seasonal,10,2.232595206,ETS,2.232595206,0.951319139,2.232595206,ETS,2.613657469,3.849876811,1.283417154
1397,MACRO,1,Non-seasonal,11,2.356715512,ETS,2.356715512,1.020166225,2.356715512,ETS,2.767148563,3.873999495,1.311539403
1398,MACRO,1,Non-seasonal,12,2.470932971,ETS,2.470932971,1.087338278,2.470932971,ETS,2.909971535,3.92458489,1.32966635
